"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"166",Oct 2000,7.812,107728,718.186666666667,698.757481701294,152.614666666667,851.37214836796,-133.185481701294,"Rent"
"167",Nov 2000,7.732,108291,721.94,697.017086403515,153.41225,850.429336403515,-128.489336403515,"Rent"
"168",Dec 2000,7.382,108791,725.273333333333,676.720336320094,154.120583333333,830.840919653427,-105.567586320094,"Rent"
"169",Jan 2001,7.052,109214,728.093333333333,657.379389570571,154.719833333333,812.099222903904,-84.0058895705707,"Rent"
"170",Feb 2001,7.07,109642,730.946666666667,661.151417314526,155.326166666667,816.477583981192,-85.5309173145257,"Rent"
"171",Mar 2001,6.98,110394,735.96,659.674647553537,156.3915,816.066147553537,-80.1061475535369,"Rent"
"172",Apr 2001,7.044,111248,741.653333333333,669.083435784659,157.601333333333,826.684769117993,-85.0314357846594,"Rent"
"173",May 2001,7.14,112203,748.02,681.361847143248,158.95425,840.316097143248,-92.2960971432485,"Rent"
"174",Jun 2001,7.16,113272,755.146666666667,689.23096828604,160.468666666667,849.699634952706,-94.5529682860397,"Rent"
"175",Jul 2001,7.124,114226,761.506666666667,692.536161610834,161.820166666667,854.3563282775,-92.8496616108336,"Rent"
"176",Aug 2001,6.96333333333333,114988,766.586666666667,685.969674708137,162.899666666667,848.869341374804,-82.2826747081371,"Rent"
"177",Sep 2001,6.838,115465,769.766666666667,680.103370142803,163.575416666667,843.67878680947,-73.9121201428031,"Rent"
"178",Oct 2001,6.638,115681,771.206666666667,667.541487237624,163.881416666667,831.422903904291,-60.2162372376246,"Rent"
"179",Nov 2001,6.655,115839,772.26,669.626197349631,164.10525,833.731447349631,-61.4714473496305,"Rent"
"180",Dec 2001,7.056,116056,773.706666666667,698.843864462844,164.412666666667,863.256531129511,-89.5498644628445,"Rent"
"181",Jan 2002,7.03,116437,776.246666666667,699.305081026034,164.952416666667,864.2574976927,-88.0108310260335,"Rent"
"182",Feb 2002,6.8925,116916,779.44,692.480257756555,165.631,858.111257756555,-78.6712577565546,"Rent"
"183",Mar 2002,7.014,117929,786.193333333333,707.124332378536,167.066083333333,874.19041571187,-87.9970823785363,"Rent"
"184",Apr 2002,7.024,119208,794.72,715.514544550577,168.878,884.392544550577,-89.6725445505767,"Rent"
"185",May 2002,6.81833333333333,120788,805.253333333333,710.03072751241,171.116333333333,881.147060845744,-75.8937275124104,"Rent"
"186",Jun 2002,6.672,122333,815.553333333333,708.405440940125,173.305083333333,881.710524273459,-66.1571909401255,"Rent"
"187",Jul 2002,6.498,123687,824.58,703.460967870384,175.22325,878.684217870384,-54.1042178703843,"Rent"
"188",Aug 2002,6.29833333333333,124729,831.526666666667,694.712760845965,176.699416666667,871.412177512632,-39.8855108459655,"Rent"
"189",Sep 2002,6.118,125494,836.626666666667,685.752106884802,177.783166666667,863.535273551469,-26.9086068848021,"Rent"
"190",Oct 2002,6.088,126136,840.906666666667,687.060141897287,178.692666666667,865.752808563954,-24.8461418972873,"Rent"
"191",Nov 2002,6.068,126642,844.28,688.345387597956,179.4095,867.754887597956,-23.4748875979557,"Rent"
"192",Dec 2002,6.064,127151,847.673333333334,690.8167852972,180.130583333333,870.947368630534,-23.2740352972,"Rent"
"193",Jan 2003,5.91833333333333,127652,851.013333333333,682.783892603029,180.840333333333,863.624225936362,-12.6108926030291,"Rent"
"194",Feb 2003,5.854,128326,855.506666666667,681.637771216449,181.795166666667,863.432937883115,-7.92627121644853,"Rent"
"195",Mar 2003,5.754,129308,862.053333333333,679.441499359554,183.186333333333,862.627832692887,-0.574499359554011,"Rent"
"196",Apr 2003,5.832,130488,869.92,691.473090430658,184.858,876.331090430658,-6.41109043065808,"Rent"
"197",May 2003,5.535,131839,878.926666666667,676.318521092439,186.771916666667,863.090437759106,15.8362289075609,"Own"
"198",Jun 2003,5.246,133225,888.166666666667,661.809015092944,188.735416666667,850.544431759611,37.6222349070556,"Own"
"199",Jul 2003,5.554,134647,897.646666666667,692.171077099708,190.749916666667,882.920993766375,14.7256729002922,"Own"
"200",Aug 2003,6.264,135965,906.433333333333,754.558464209027,192.617083333333,947.175547542361,-40.7422142090273,"Rent"
"201",Sep 2003,6.182,137076,913.84,754.152790738062,194.191,948.343790738062,-34.5037907380615,"Rent"
"202",Oct 2003,5.95666666666667,137976,919.84,741.056191500865,195.466,936.522191500865,-16.6821915008654,"Rent"
"203",Nov 2003,5.934,138765,925.1,743.47855061608,196.58375,940.06230061608,-14.96230061608,"Rent"
"204",Dec 2003,5.87833333333333,139628,930.853333333333,743.624849495566,197.806333333333,941.4311828289,-10.5778494955664,"Rent"
"205",Jan 2004,5.74,140706,938.04,738.205550481965,199.3335,937.539050481965,0.500949518035554,"Own"
"206",Feb 2004,5.644,142029,946.86,737.373241216038,201.20775,938.580991216038,8.2790087839619,"Own"
"207",Mar 2004,5.472,144080,960.533333333333,733.986943712819,204.113333333333,938.100277046152,22.4330562871809,"Own"
"208",Apr 2004,5.83,146180,974.533333333333,774.45925318444,207.088333333333,981.547586517774,-7.01425318444035,"Rent"
